"GeneID";"Localization_keys";"confidence(plasma membrane)";"Localization";"confidence(ER)";"confidence(extracellular)";"confidence(lipid particles)";"confidence(integral membrane)";"confidence(cell wall)";"confidence(cytoskeleton)";"confidence(nucleus)";"predicted_localization";"confidence(mitochondria)";"confidence(golgi)";"confidence(vacuole)";"confidence(endosome)";"confidence(cytoplasm)";"confidence(?)";"confidence(transport vesicles)";"confidence(peroxisome)";"Correct_prediction"
"G234490";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.9999999999999999;"nucleus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"true"
"G236380";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.9999999999999999;"nucleus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"true"
"G234394";"cytoskeleton";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.7999999999999999;0.2;"cytoskeleton";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"true"
"G234385";"mitochondria";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.0;"mitochondria";0.9999999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"true"
"G234365";"plasmamembrane";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.0;"cytoplasm";0.0;0.0;0.0;0.0;0.9999999999999999;0.0;0.0;0.0;"false"
"G235818";"nucleus";0.2;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.2;"cytoplasm";0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;"false"
"G235319";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.9999999999999999;"nucleus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"true"
"G234573";"er";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.0;"mitochondria";0.8999999999999999;0.0;0.0;0.0;0.1;0.0;0.0;0.0;"false"
"G236758";"er";0.5;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.0;"plasma membrane";0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;"false"
"G234364";"nucleus";0.7;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.30000000000000004;"plasma membrane";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"false"
"G238800";"er";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.1;"cytoplasm";0.0;0.0;0.4;0.0;0.5;0.0;0.0;0.0;"false"
"G234247";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.4;0.6;"nucleus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"true"
"G237124";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.4;0.4;"cytoskeleton";0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;"false"
"G235916";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.2;"cytoplasm";0.0;0.0;0.0;0.0;0.7999999999999999;0.0;0.0;0.0;"false"
"G235909";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.9999999999999999;"nucleus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"true"
"G235001";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.9999999999999999;"nucleus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"true"
"G235488";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.5;"nucleus";0.0;0.2;0.0;0.0;0.30000000000000004;0.0;0.0;0.0;"true"
"G235268";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.2;0.7999999999999999;"nucleus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"true"
"G235748";"mitochondria";0.4;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.6;"nucleus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"false"
"G234189";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.9999999999999999;"nucleus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"true"
"G236813";"cytoskeleton";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.6;"nucleus";0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;"false"
"G234485";"cytoplasm";0.7999999999999999;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.2;"plasma membrane";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"false"
"G235354";"nucleus";0.0;"?";0.0;0.0;0.0;0.0;0.0;0.0;0.7999999999999999;"nucleus";0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;"true"
